Site,Borehole/Test No.,Depth,Test,wn,LL,PL,PI,K0,G50,Ir,su,qnet,Nkt,sigma_vo,uo,qt,u2,fs,Qt,Bq,Fr
OS,BL1,7.18,CAUC,63.74,64.5,28.6,35.9,0.62993763,3916.083916,152.3768061,25.7,262.892,10.2292607,115.598,61.8,378.49,248.3,7.6,4.886650061,0.709416795,2.890920987
OS,BL1,12.62,CAUC,63.41,71.8,30.3,41.5,0.631116688,5661.124307,165.5299505,34.2,398.998,11.66660819,203.182,116.2,602.18,420.6,11.4,4.58713297,0.762911092,2.857157179
OS,BL1,14.73,CAUC,64.27,74,33.3,40.7,0.630032644,6356.164384,184.7722205,34.4,444.658,12.92610465,236.992,137.2,681.65,465.5,14.1,4.455848164,0.738320237,3.170976346
BW,B1SBS5,6.65,CAUC,105.3,96.3,35,61.3,0.788289689,1148.072056,50.79964851,22.6,199.396559,8.822856593,92.43967585,54.936,289.2904535,153.08904,4.09284,5.248839564,0.498616471,2.079158665
BW,B1SBS10,8.45,CAUC,74.4,83,32.5,50.5,0.733534319,2761.144582,134.0361448,20.6,236.4429652,11.47781385,118.3853485,72.594,344.4760455,131.659,6.18892,4.93741077,0.261244716,2.737361634
BW,B1SBS19,12.8,CAUC,60.5,74.4,32.8,41.6,0.617868189,2682.063422,84.47443848,31.75,292.8310205,9.223024268,185.7157576,115.758,478.5467781,289.23516,5.096,4.185826283,0.592413876,1.740252788
BW,B1SBS24,14.55,CAUC,67.3,77.7,30.8,46.9,0.591592356,2956.203876,69.96932251,42.25,328.3085787,7.770617248,212.1126465,132.435,540.4212252,322.9414,5.4904,4.120460294,0.580266287,1.672329131
NS,Template A (GB 36),3.52,CAUC,118.25,107,41,66,0.605263158,284.2507603,35.53134503,8,88.549475,11.06868438,12.25343131,12.75197108,136.30785,69.885,4.655,6.940497908,0.395108964,5.312607069
NS,Template A (GB 36),4.38,CAUC,113.52,98.6,44.2,54.4,0.602739726,471.1644264,49.59625541,9.5,105.359915,11.09051737,15.036266,14.47103862,164.17725,88.725,5.135,6.661040877,0.433225444,4.88710453
NS,Template A (GB 36),14.38,CAUC,27.75,40.4,18.1,22.3,0.600924499,2783.413714,109.5832171,25.4,322.454415,12.69505571,50.79004394,38.69174937,523.99075,316.575,12.43,5.508619817,0.55987357,4.042494778
NS,Template A (GB 36),19.2,CAUC,20.19,36.4,16.4,20,0.803571429,2614.636391,29.24649207,89.4,1203.87104,13.46611902,68.84002437,53.38268378,1478.3696,445.06,79.085,14.59263095,0.25829409,6.913807401
NS,Template B (GB 37),2.23,CAUC,122,99.5,42.7,56.8,0.594936709,318.1213062,57.84023748,5.5,59.76616,10.86657455,7.81056508,22,89.26816,46.576,4.372,7.966696881,0.472824601,8.171760084
NS,Template B (GB 37),3.23,CAUC,117.62,100.1,39.5,60.6,0.601694915,312.2429329,43.97787787,7.1,85.13752,11.9912,11.19852074,32,128.20952,72.072,5.212,7.689443642,0.486198453,6.431907669
NS,Template B (GB 37),6.23,CAUC,96.8,87.6,37.2,50.4,0.599190283,1094.219495,82.89541626,13.2,156.29692,11.84067576,21.67443877,62,240.67892,152.212,7.444,6.983152533,0.587884131,4.898076016
NS,Pipeline (DW15),0.28,CAUC,119.6,86.2,34.9,51.3,0.763636364,182.3733509,50.65926415,3.6,26.57666667,7.382407407,2.7,2,29.27666667,9.666666667,2.293333333,37.96666667,0.287155641,8.651764146
NS,Pipeline (DW19),1.2,CAUC,129.4,102.6,41.5,61.1,0.512195122,100.6834043,38.72438625,2.6,40.95113333,15.7504359,16.2,12,57.15113333,27.24666667,3.3,9.750269841,0.370945184,8.034272
NS,Pipeline (DW31),1.2,CAUC,127.2,107.9,43.6,64.3,0.476190476,117.109828,35.48782666,3.3,40.95113333,12.40943434,16.2,12,57.15113333,27.24666667,3.3,9.750269841,0.370945184,8.034272
GOG1,PC-1,5.2,CAUC,152.2,159,49.1,109.9,NaN,NaN,NaN,9,133.4464,14.82737778,68.12,52,201.5664,95.04,8.42,8.278312655,0.322526498,6.309649417
GOG1,PC-1,7.3,CAUC,135,145,53.4,91.6,NaN,NaN,NaN,11,173.7674,15.79703636,95.63,73,269.3974,150.14,9.82,7.678630137,0.443926766,5.651232625
GOG4,STFPU,2.5,CAUC,131,145,45,100,0.5,229.3333333,41.6969697,5.5,50.7042125,9.218947727,31.9921875,25,82.6964,52.04,3.12,7.251552179,0.533289024,10.62387605
GOG4,STFPU,4.4,CAUC,115,133,51,82,0.538461538,311.6666667,31.16666667,10,98.8188,9.88188,58.1,44,156.9188,86.68,4.12,7.008425532,0.431901622,6.510745891
GOG4,STFPU,7.2,CAUC,101,137,59,77,0.5,640,42.66666667,15,189.2498,12.61665333,97.3,72,286.5498,149.78,9.02,7.480229249,0.410991187,7.055694618
